SMILES	RT
C(CC(C(=O)O)N)C(CN)OC1C(C(C(C(O1)CO)O)O)O	152.0325301
CCCCCCCCCCCCCCCCCC(=O)OCC(CO)OC(=O)CCC=CCC=CCC=CCC=CCC=CCC=CCC	86.47205478
CCCCOCCOP(=O)(OCCOCCCC)OCCOCCCC	11.77631028
CCC(C=CC(C)C1CCC2C3CC=C4CC(OS(=O)(=O)O)CCC4(C)C3CCC12C)C(C)C	14.69395425
CCCCCCCCCCCCCC=CC=CC(=O)NCC(C)C	12.69819453
C1=CC(=C(C=C1CCC(=O)O)O)O	24.70754066
CCCCCC=CCC=CCCCCCCCCC(=O)NC(C)C(=O)O	12.69819453
CCCC=CCC=CCCCCCCCC(=O)OCC(O)COP(=O)([O-])OCC[N+](C)(C)C	82.72904238
CCC=CCC=CCC=CCC=CCCCCCCC(=O)OC(COCCCCCCCCC=CCCCCCCCC)COP(=O)(O)OCCN	51.99262823
CCCCCCCCCCCCCCCC(=O)NCCS(=O)(=O)O	17.26429273
C(CCN)CC(C(=O)O)NC(=O)C(CCC(=O)N)N	148.1184907
CC1=NC=C(C(=C1O)C(=O)O)CO	27.01422656
C1CC2=C(C3=CC=CC=C3N=C2C1)NCC4=CC=CC=C4	23.41189744
C[N+](C)(C)CC(CC(=O)[O-])OC(=O)CC(=O)O	126.9946949
C1=CC(=CC=C1N)P(=O)(O)O	131.305205
CCOC(=O)C(CCC1=CC=CC=C1)NC(C)C(=O)O	20.77062195
C1=CC=C2C(=C1)NC(=N2)C3=CSC=N3	15.96247343
CC(C)CC(C(=O)O)NC(=O)C(CCC(=O)O)N	81.64289142
COC1=CC2=C(C=C1)NC=C2CCO	14.96573746
CC(C)(COP(=O)(O)OP(=O)(O)OCC1C(C(C(O1)N2C=NC3=C(N=CN=C32)N)O)OP(=O)(O)O)C(C(=O)NCCC(=O)NCCS)O	147.2735818
C1=CC(=CN=C1)OS(=O)(=O)O	16.42519067
CCCCCCCCCCCCCCCC(=O)OCC(COP(=O)([O-])OCC[N+](C)(C)C)OC(=O)CCCCCCCCCCCCC	30.38811754
CC(C(=O)NC(CCC(=O)N)C(=O)O)N	132.8708485
CCCCCC=CCC=CCCCCCCCC(=O)OCC(COP(=O)(O)OC1C(C(C(C(C1O)O)O)O)O)O	95.97399992
C(CCCCC(=O)O)CCCC=CC(=O)O	15.46433584
CC(C(=O)NC(C)C(=O)NC(CCCN=C(N)N)C(=O)O)N	143.7660843
CCCCCC=CCC=CCCCCCCCCCCCC(=O)NC(COP(=O)([O-])OCC[N+](C)(C)C)C(O)CCCCCCCCCCCCCCC	72.7859919
CC(C(C(=O)N1CCCC1C(=O)NC(CCCCN)C(=O)O)N)O	142.8281763
C1CN2CCN1CC2	99.90210634
C1=CC=C(C=C1)NC(=O)NC2=CC=CC=C2	27.20003988
CC(CCC(=O)NCCS(=O)(=O)O)C1CCC2C1(C(CC3C2C(CC4C3(CCCC4)C)O)O)C	94.39125338
COC1=CC=CC(=C1O)C(=O)O	24.14510922
CC(CCC(=O)NCCCNCCCCN)C1CCC2C3C(O)CC4CC(O)CCC4(C)C3CCC12C	99.50046731
C(C=CCC(=O)O)C(=O)O	29.4139266
C(C(C(=O)O)O)OP(=O)(O)O	155.5630852
CC(CSCC(C(=O)NCC(=O)O)NC(=O)CCC(C(=O)O)N)C(=O)O	133.7883698
C1=NC2=C(N1C3C(C(C(O3)CO)O)O)NC(=O)NC2=O	107.0341426
C(CCNC(=O)N)CN	111.4797786
CC1=CC(=O)CC(C1)(C)C	13.157962
CCCCCCCCCCCCCCCC(=O)OCC(COP(=O)([O-])OCC[N+](C)(C)C)OC(=O)CCC=CCC=CCC=CCC=CCC=CCC=CCC	39.13702133
C1=CC(=CC=C1C(=O)NC(CCC(=O)O)C(=O)O)N	112.5399881
CCCC(=O)NC1=CC(=C(C=C1)OCC(CNC(C)C)O)C(=O)C	47.00075785
C(C(C(C(C(C(CO)O)O)O)O)O)O	116.5869944
CC(=O)NCCC(=O)O	114.5097816
C1CN(CCN1CCO)C2=NC3=CC=CC=C3SC4=CC=CC=C42	26.52506868
C(C(C(=O)O)N)N	122.0670069
CC(C)CC(C(=O)NC(C(C)C)C(=O)NC(CCCCN)C(=O)O)N	127.5203072
